"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.501649750E0,-1.031954041E0,3.130889282E0,9.230255585E0,9.801276192E0
2.511630750E0,-1.014290771E0,3.085982666E0,9.241781616E0,9.796050338E0
2.521610750E0,-1.023122406E0,3.068319397E0,9.227710876E0,9.778139465E0
2.531591750E0,-1.044378204E0,3.094365234E0,9.203760681E0,9.766014167E0
2.541572750E0,-1.060843964E0,3.106789398E0,9.227261810E0,9.793870062E0
2.551553750E0,-1.038240967E0,3.104394379E0,9.220226440E0,9.784057664E0
2.561534750E0,-1.020727386E0,3.100203094E0,9.229956207E0,9.790057978E0
2.571515750E0,-1.031504974E0,3.096909943E0,9.239985352E0,9.799601165E0
2.581496750E0,-1.036893768E0,3.099604340E0,9.231004028E0,9.792554882E0
2.591476750E0,-1.024170227E0,3.090173950E0,9.214837646E0,9.772989949E0
2.601457750E0,-1.013542328E0,3.091072083E0,9.227411499E0,9.784023592E0
2.611438750E0,-1.007105713E0,3.081192627E0,9.234297180E0,9.786738697E0
2.621419750E0,-1.030157776E0,3.069516907E0,9.226663055E0,9.778265195E0
2.631400750E0,-1.019380188E0,3.062631226E0,9.225764923E0,9.774128320E0
2.641381750E0,-1.020727386E0,3.058290253E0,9.231902161E0,9.778703450E0
2.651361750E0,-1.049168243E0,3.077450409E0,9.256600800E0,9.811019997E0
2.661342750E0,-1.070873108E0,3.104993134E0,9.254505157E0,9.820061980E0
2.671323750E0,-1.071771240E0,3.115321655E0,9.234446869E0,9.804536276E0
2.681304750E0,-1.057700500E0,3.097658386E0,9.230255585E0,9.793458837E0
2.691285750E0,-1.044078827E0,3.088527374E0,9.221723328E0,9.781067583E0
2.701266750E0,-1.040486298E0,3.085533600E0,9.191186829E0,9.750950961E0
2.711247750E0,-1.050515442E0,3.086581421E0,9.170679474E0,9.733032907E0
2.721227750E0,-1.055754547E0,3.096909943E0,9.201665039E0,9.766069237E0
2.731208750E0,-1.057401123E0,3.087928619E0,9.235045624E0,9.794869472E0
2.741189750E0,-1.065933380E0,3.109633484E0,9.256151733E0,9.822544441E0
2.751166750E0,-1.063238983E0,3.117267609E0,9.298064575E0,9.864169470E0
2.761147750E0,-1.060694275E0,3.120411072E0,9.300459595E0,9.867146815E0
2.771128750E0,-1.050066376E0,3.133134613E0,9.262288971E0,9.834082005E0
2.781108750E0,-1.034648438E0,3.135379944E0,9.247469788E0,9.819205785E0
2.791089750E0,-1.022972717E0,3.136876831E0,9.208550720E0,9.781813523E0
2.801070750E0,-1.010548553E0,3.132984924E0,9.196875000E0,9.768280948E0
2.811051750E0,-1.022373962E0,3.154989166E0,9.229357452E0,9.807152703E0
2.821032750E0,-1.029109955E0,3.147953796E0,9.235794067E0,9.811654930E0
2.831013750E0,-1.035995636E0,3.115471344E0,9.239236908E0,9.805251006E0
2.840994750E0,-1.030606842E0,3.108735352E0,9.239685974E0,9.802968063E0
2.850974750E0,-1.036295013E0,3.125350800E0,9.238189087E0,9.807439145E0
2.860955750E0,-1.067430267E0,3.121907959E0,9.244176636E0,9.815320593E0
2.870936750E0,-1.065933380E0,3.119512939E0,9.258696442E0,9.828073807E0
2.880917750E0,-1.052311707E0,3.094664612E0,9.266180878E0,9.825803634E0
2.890898750E0,-1.069376221E0,3.102897491E0,9.279652863E0,9.842941410E0
2.900879750E0,-1.062789917E0,3.124752045E0,9.260043640E0,9.830666608E0
2.910859750E0,-1.041833496E0,3.123704224E0,9.238488464E0,9.807783349E0
2.920840750E0,-1.034049683E0,3.124153290E0,9.221873016E0,9.791452112E0
2.930821750E0,-9.975256348E-1,3.101999359E0,9.176517334E0,9.737860535E0
2.940802750E0,-9.933343506E-1,3.084485779E0,9.173822937E0,9.729326438E0
2.950783750E0,-1.041534119E0,3.124452667E0,9.193581848E0,9.765702483E0
2.960764750E0,-1.068178711E0,3.132386169E0,9.235045624E0,9.810143554E0
2.970745750E0,-1.065484314E0,3.140319672E0,9.256750488E0,9.832817199E0
2.980725750E0,-1.048719177E0,3.163671112E0,9.249266052E0,9.831457131E0
2.990706750E0,-1.006207581E0,3.113076324E0,9.237740021E0,9.799976459E0
3.000687750E0,-1.010997620E0,3.100352783E0,9.230255585E0,9.789378005E0
3.010668750E0,-1.031055908E0,3.144660645E0,9.181906128E0,9.760090522E0
3.020649750E0,-1.014440460E0,3.148402863E0,9.127868500E0,9.708733871E0
3.030630750E0,-1.013991394E0,3.139122162E0,9.121282196E0,9.699487378E0
3.040610750E0,-1.006806335E0,3.115171967E0,9.121581573E0,9.691295361E0
3.050591750E0,-1.002914429E0,3.079096985E0,9.157806244E0,9.713500440E0
3.060572750E0,-1.055305481E0,3.100502472E0,9.204060059E0,9.769416912E0
3.070553750E0,-1.067729645E0,3.132236481E0,9.250164185E0,9.824280605E0
3.080534750E0,-1.055305481E0,3.135829010E0,9.245823212E0,9.819996950E0
3.090515750E0,-1.060394897E0,3.138523407E0,9.205257568E0,9.783227147E0
3.100496750E0,-1.038989410E0,3.143463135E0,9.186546478E0,9.764911452E0
3.110476750E0,-1.036893768E0,3.129691772E0,9.209897919E0,9.782246110E0
3.120457750E0,-1.017134857E0,3.150648193E0,9.223369904E0,9.799576508E0
3.130438750E0,-1.012793884E0,3.157833252E0,9.205257568E0,9.784397232E0
3.140419750E0,-1.009949799E0,3.180136871E0,9.215436401E0,9.800894713E0
3.150400750E0,-1.022074585E0,3.215463409E0,9.214687958E0,9.812966705E0
3.160381750E0,-9.999206543E-1,3.215912476E0,9.183403015E0,9.781453128E0
3.170361750E0,-9.762698364E-1,3.184926910E0,9.217082977E0,9.800585739E0
3.180342750E0,-9.626481628E-1,3.169059906E0,9.216035156E0,9.793106564E0
3.190323750E0,-9.704319763E-1,3.185675354E0,9.200617218E0,9.784764835E0
3.200304750E0,-9.912387085E-1,3.216211853E0,9.180858307E0,9.778278586E0
3.210285750E0,-1.020577698E0,3.226839752E0,9.163494415E0,9.768505695E0
3.220266750E0,-1.007405090E0,3.212769012E0,9.187743988E0,9.785263887E0
3.230247750E0,-9.566606140E-1,3.175197144E0,9.222920837E0,9.800986950E0
3.240227750E0,-9.629475403E-1,3.172353058E0,9.226513367E0,9.804062464E0
3.250208750E0,-9.901908875E-1,3.209625549E0,9.233548737E0,9.825507439E0
3.260189750E0,-1.008003845E0,3.220852203E0,9.191935272E0,9.791916805E0
3.270170750E0,-9.961784363E-1,3.201392670E0,9.169182587E0,9.762950159E0
3.280151750E0,-9.906399536E-1,3.184777222E0,9.170679474E0,9.758357212E0
3.290132750E0,-1.006357269E0,3.184477844E0,9.187893677E0,9.776044410E0
3.300113750E0,-1.033301239E0,3.170107727E0,9.192084961E0,9.778124584E0
